,City,Country,Date,Humidity,Cloudiness,Wind Speed,Max Temp,Latitude,Longitude
0,Mahebourg,MU,1548644400,88,75,6.98,78.8,-20.41,57.7
1,Jamestown,AU,1548646669,86,0,4.97,73.75,-33.21,138.6
2,Ushuaia,AR,1548644400,53,75,12.75,50.0,-54.81,-68.31
3,Ponta do Sol,BR,1548646672,91,8,2.84,62.19,-20.63,-46.0
4,Rikitea,PF,1548646673,99,0,11.56,80.91,-23.12,-134.97
5,Albany,US,1548645480,54,75,13.87,26.96,42.65,-73.75
6,Lebu,ET,1548644400,66,0,2.24,51.8,8.96,38.73
7,East London,ZA,1548644400,88,40,5.82,68.0,-33.02,27.91
8,Penzance,GB,1548643800,100,75,9.17,41.0,50.12,-5.53
9,Cape Town,ZA,1548644400,64,0,4.7,68.0,-33.93,18.42
10,Carnarvon,ZA,1548646681,47,0,11.23,59.94,-30.97,22.13
11,Leningradskiy,RU,1548646682,96,80,32.03,0.13,69.38,178.42
12,Havre-Saint-Pierre,CA,1548644400,84,75,21.92,8.6,50.23,-63.6
13,Havre,US,1548643980,68,1,9.17,28.94,48.55,-109.68
14,Gat,SN,1548644400,30,24,2.24,75.2,14.69,-16.54
15,Mataura,NZ,1548646687,65,0,18.5,72.4,-46.19,168.86
16,Belyy Yar,RU,1548644400,45,0,13.42,1.4,53.6,91.39
17,Busselton,AU,1548646690,74,0,7.31,77.22,-33.64,115.35
18,Povenets,RU,1548646691,77,44,4.97,-0.77,62.85,34.83
19,Los Llanos de Aridane,ES,1548644400,68,0,10.29,64.4,28.66,-17.92
20,Khuzdar,PK,1548646694,71,0,3.29,32.08,27.8,66.62
21,Tolaga Bay,NZ,1548646644,50,0,8.99,83.2,-38.37,178.3
22,Vila Franca do Campo,PT,1548644400,82,20,8.05,55.4,37.72,-25.43
23,Kodiak,US,1548644100,82,90,11.41,39.92,39.95,-94.76
24,Nara,JP,1548644400,46,75,6.93,50.0,34.68,135.8
25,Tomaszow Lubelski,PL,1548646700,87,68,10.67,27.22,50.45,23.42
26,Arraial do Cabo,BR,1548646701,89,0,16.04,77.04,-22.97,-42.02
27,Punta Arenas,CL,1548644400,75,75,9.17,46.4,-53.16,-70.91
28,Bredasdorp,ZA,1548644400,82,8,11.41,68.0,-34.53,20.04
29,Shingu,JP,1548644400,100,75,4.7,50.0,33.72,135.99
30,Inongo,CD,1548646706,87,68,4.97,77.31,-1.93,18.29
31,Puerto Ayora,EC,1548646708,98,0,8.1,78.88,-0.74,-90.35
32,Upernavik,GL,1548646709,100,0,3.62,10.12,72.79,-56.15
33,Namibe,AO,1548646710,100,76,2.84,74.34,-15.19,12.15
34,Hollola,FI,1548646712,78,32,6.42,-0.86,60.99,25.5
35,Thompson,CA,1548644400,75,40,4.41,-13.01,55.74,-97.86
36,Kaeo,NZ,1548646714,47,0,15.03,83.34,-35.1,173.78
37,Tura,IN,1548646627,77,0,3.06,65.29,25.52,90.21
38,Vanimo,PG,1548646717,100,76,12.24,80.01,-2.67,141.3
39,Hilo,US,1548643980,57,20,12.75,71.96,19.71,-155.08
40,Khatanga,RU,1548646719,66,20,3.06,-35.2,71.98,102.47
41,Hithadhoo,MV,1548646721,100,24,10.33,82.21,-0.6,73.08
42,Rosarito,CO,1548644400,94,40,2.24,75.2,4.91,-75.23
43,Pevek,RU,1548646723,87,56,17.83,-6.26,69.7,170.27
44,Buin,CL,1548644400,40,0,6.93,71.6,-33.73,-70.74
45,Iqaluit,CA,1548644400,77,90,3.36,5.0,63.75,-68.52
46,Puerto Barrios,GT,1548646728,100,92,2.73,69.21,15.72,-88.58
47,Kapaa,US,1548644160,53,75,21.92,75.92,22.08,-159.32
48,Yarensk,RU,1548646730,81,92,8.99,11.65,62.17,49.09
49,Nizhneangarsk,RU,1548646732,74,68,2.95,-1.72,55.78,109.57
50,Zonguldak,TR,1548646733,98,44,3.29,38.16,41.25,31.83
51,La Ronge,CA,1548644400,71,90,19.46,5.0,55.1,-105.3
52,Guayaramerin,BO,1548646735,85,12,1.72,78.39,-10.82,-65.36
53,Tilichiki,RU,1548646737,76,88,4.18,-0.55,60.47,166.1
54,Torbay,CA,1548644400,92,90,9.17,28.4,47.66,-52.73
55,Sangar,RU,1548646739,47,48,5.53,-29.35,63.92,127.47
56,Castro,CL,1548644400,87,20,6.93,51.8,-42.48,-73.76
57,Severo-Kurilsk,RU,1548646742,100,48,6.64,26.59,50.68,156.12
58,Port Elizabeth,US,1548644160,69,1,3.36,44.06,39.31,-74.98
59,Nuevo Progreso,US,1548646500,87,1,6.93,57.02,26.05,-97.95
60,Port Hawkesbury,CA,1548644400,93,90,14.99,32.0,45.62,-61.36
61,Warrnambool,AU,1548646671,73,0,7.76,73.26,-38.38,142.48
62,Nicoya,CR,1548644400,83,0,2.24,77.0,10.15,-85.45
63,Butaritari,KI,1548646753,100,88,11.23,83.29,3.07,172.79
64,Port Alfred,ZA,1548646754,92,44,13.47,68.98,-33.59,26.89
65,Marawi,PH,1548646756,99,36,3.74,72.31,8.0,124.29
66,Jurmala,LV,1548643800,85,75,12.75,17.6,56.97,23.77
67,Barrow,AR,1548646758,78,24,14.03,78.52,-38.31,-60.23
68,Sur,OM,1548646760,100,0,9.22,68.35,22.57,59.53
69,Narayangarh,IN,1548646761,81,0,4.97,44.64,24.28,75.06
70,Najran,SA,1548644400,54,0,2.39,55.4,17.54,44.22
71,Malartic,CA,1548644400,67,20,5.82,-22.01,48.14,-78.13
72,Bilibino,RU,1548646765,41,44,2.62,-27.41,68.06,166.44
73,Provideniya,RU,1548644400,72,40,22.37,15.8,64.42,-173.23
74,Souillac,FR,1548644400,100,92,5.82,41.0,45.6,-0.6
75,Ribeira Grande,PT,1548646610,100,8,12.35,60.21,38.52,-28.7
76,Aklavik,CA,1548644400,65,90,11.41,5.0,68.22,-135.01
77,Calvinia,ZA,1548646771,44,0,5.53,55.21,-31.47,19.78
78,Flin Flon,CA,1548646772,74,76,11.23,2.65,54.77,-101.88
79,Buta,CD,1548646774,87,8,2.73,74.11,2.79,24.73
80,Mar del Plata,AR,1548646775,54,0,24.87,63.22,-46.43,-67.52
81,Chapais,CA,1548644400,68,20,14.99,-14.81,49.78,-74.86
82,Tual,ID,1548646778,100,92,15.82,81.09,-5.67,132.75
83,Sao Filipe,CV,1548646779,93,44,12.01,73.44,14.9,-24.5
84,Dikson,RU,1548646781,90,24,18.05,-10.27,73.51,80.55
85,Faya,SA,1548644400,58,0,6.93,59.0,18.39,42.45
86,Beringovskiy,RU,1548646783,89,0,3.06,-3.38,63.05,179.32
87,Rundu,NA,1548646784,98,92,11.34,64.66,-17.91,19.77
88,Ancud,CL,1548644400,87,20,6.93,51.8,-41.87,-73.83
89,Mbigou,GA,1548646787,97,88,2.62,70.06,-1.9,11.91
90,Coihaique,CL,1548644400,54,36,9.17,55.4,-45.58,-72.07
91,Hoa Binh,VN,1548644400,82,80,6.93,68.0,20.81,105.34
92,Altay,CN,1548646791,55,12,2.06,-9.5,47.83,88.13
93,Lompoc,US,1548645300,76,1,5.86,55.04,34.64,-120.46
94,Hobart,AU,1548644400,18,20,19.46,87.8,-42.88,147.33
95,Snezhnogorsk,RU,1548644400,68,0,2.24,-20.21,69.19,33.23
96,Wakkanai,JP,1548644400,79,75,9.17,28.4,45.41,141.67
97,Georgetown,GY,1548644400,100,20,2.24,73.4,6.8,-58.16
98,Linxia,CN,1548646799,75,88,2.95,21.01,35.6,103.21
99,Faanui,PF,1548646800,100,64,20.07,81.94,-16.48,-151.75
100,Vardo,US,1548645600,51,1,9.17,37.4,39.62,-77.74
101,Avarua,CK,1548644400,79,75,17.22,84.2,-21.21,-159.78
102,Eureka,US,1548645600,100,90,2.95,48.02,40.8,-124.16
103,Turukhansk,RU,1548646806,35,32,9.44,-23.81,65.8,87.96
104,Atuona,PF,1548646807,100,44,20.4,80.32,-9.8,-139.03
105,Paita,PE,1548646810,85,44,6.2,72.94,-5.09,-81.11
106,Atar,MR,1548646812,51,8,4.18,53.95,20.52,-13.05
107,Ujfeherto,HU,1548646814,64,12,5.3,16.78,47.8,21.68
108,Bundaberg,AU,1548644400,38,40,16.11,87.8,-24.87,152.35
109,Olinda,EC,1548644400,83,75,5.82,80.6,-2.03,-79.75
110,Khasan,RU,1548646817,79,0,17.6,28.84,42.43,130.64
111,Okhotsk,RU,1548646819,100,0,6.31,-10.0,59.36,143.24
112,La Palma,CO,1548646821,82,48,2.28,70.29,5.36,-74.39
113,Dourbali,TD,1548646822,29,0,9.22,63.49,11.81,15.86
114,Clyde River,CA,1548644400,76,90,18.34,-9.41,70.47,-68.59
115,Tessalit,ML,1548646824,60,0,3.74,41.08,20.2,1.01
116,Miri,NG,1548646826,56,64,3.18,65.07,10.31,9.75
117,Toma,JP,1548644400,73,75,17.22,32.0,43.82,142.6
118,New Norfolk,AU,1548644400,18,20,19.46,87.8,-42.78,147.06
119,Sechura,PE,1548646829,89,8,5.64,72.99,-5.56,-80.82
120,Yurecuaro,MX,1548646831,53,0,3.51,52.51,20.33,-102.3
121,Constitucion,MX,1548643500,22,5,4.7,44.6,23.99,-104.67
122,Sinnamary,GF,1548646833,100,92,12.91,77.94,5.38,-52.96
123,College,US,1548644280,93,90,5.41,21.02,64.86,-147.8
124,Cherskiy,RU,1548646836,62,68,7.76,-21.47,68.75,161.3
125,Shchigry,RU,1548644400,100,90,4.47,24.8,51.87,36.91
126,Gambela,ET,1548646839,73,12,5.41,62.01,8.25,34.59
127,Ust-Nera,RU,1548646840,43,48,2.17,-29.75,64.57,143.24
128,Hermanus,ZA,1548646841,88,0,7.31,58.27,-34.42,19.24
129,Ishigaki,JP,1548644400,49,20,10.29,71.6,24.34,124.16
130,Sal Rei,CV,1548644400,64,90,5.82,71.6,16.18,-22.92
131,Bambous Virieux,MU,1548644400,88,75,6.98,78.8,-20.34,57.76
132,Teya,MX,1548643500,87,20,4.7,60.8,21.05,-89.07
133,Amapa,HN,1548644400,65,40,4.7,78.8,15.09,-87.97
134,Ornskoldsvik,SE,1548645600,84,80,3.36,6.8,63.29,18.72
135,Uvinza,TZ,1548646850,92,20,2.28,59.67,-5.1,30.39
136,Longyearbyen,NO,1548643800,62,20,14.99,21.2,78.22,15.63
137,Algete,ES,1548644400,74,0,3.36,33.8,40.6,-3.5
138,Smoljan,ME,1548646854,92,64,9.22,36.72,43.09,19.23
139,Salalah,OM,1548643800,77,20,5.82,68.0,17.01,54.1
140,Dundee,GB,1548645600,64,0,8.05,33.8,56.46,-2.97
141,Tautira,PF,1548644400,65,40,9.17,82.4,-17.73,-149.15
142,Tiksi,RU,1548646859,64,24,2.73,-34.88,71.64,128.87
143,Opuwo,NA,1548646861,29,12,4.74,64.66,-18.06,13.84
144,Yulara,AU,1548644400,35,64,10.29,86.0,-25.24,130.99
145,Verkhoyansk,RU,1548646863,0,0,2.62,-58.73,67.55,133.39
146,Sola,FI,1548645600,74,0,1.12,-22.01,62.78,29.36
147,Klaksvik,FO,1548645600,74,56,10.29,30.2,62.23,-6.59
148,Haines Junction,CA,1548646867,88,68,2.28,12.24,60.75,-137.51
149,Naze,NG,1548646868,96,24,5.75,73.62,5.43,7.07
150,Broken Hill,AU,1548644400,47,92,8.05,80.6,-31.97,141.45
151,Wanning,AT,1548645600,100,75,5.82,33.8,48.64,13.53
152,Miandrivazo,MG,1548646872,97,44,2.95,69.12,-19.53,45.46
153,Norman Wells,CA,1548644400,84,20,8.05,-2.21,65.28,-126.83
154,Nikolskoye,RU,1548644400,84,20,2.24,-2.21,59.7,30.79
155,Chuy,UY,1548646876,88,12,12.24,74.61,-33.69,-53.46
156,Vaini,IN,1548644400,88,75,6.93,64.4,15.34,74.49
157,Saint-Augustin,FR,1548644400,100,90,6.93,50.0,44.83,-0.61
158,Merauke,ID,1548646880,100,92,19.51,77.53,-8.49,140.4
159,Sistranda,NO,1548643800,58,0,18.34,24.8,63.73,8.83
160,Tasiilaq,GL,1548643800,79,80,29.97,23.0,65.61,-37.64
161,Cheyenne,US,1548644280,42,75,17.22,42.08,41.14,-104.82
162,Ellensburg,US,1548644280,64,1,9.17,39.92,47.0,-120.55
163,Itoman,JP,1548644400,45,40,8.05,70.7,26.12,127.67
164,Shimanovsk,RU,1548646888,59,0,4.41,4.86,52.0,127.67
165,Muros,ES,1548644400,100,75,5.82,48.2,42.77,-9.06
166,Yellowknife,CA,1548644400,68,5,10.29,-18.41,62.45,-114.38
167,Aykhal,RU,1548646892,41,32,4.07,-27.77,65.95,111.51
168,Puerto Escondido,MX,1548646893,100,0,2.95,81.4,15.86,-97.07
169,Airai,TL,1548646894,72,88,2.39,79.74,-8.93,125.41
170,Inirida,CO,1548646896,86,12,2.06,75.73,3.87,-67.92
171,Gilbues,BR,1548646897,95,32,2.73,68.04,-9.83,-45.34
172,Lae,PG,1548644400,70,90,9.17,84.2,-6.72,146.98
173,Varhaug,NO,1548645600,74,40,1.12,28.4,58.61,5.65
174,Sirnak,TR,1548646901,93,68,2.17,30.37,37.52,42.46
175,Peniche,PT,1548644400,93,75,8.05,51.8,39.36,-9.38
176,Guerrero Negro,MX,1548646903,78,0,8.66,58.0,27.97,-114.04
177,Cairns,AU,1548644400,79,92,11.41,86.0,-16.92,145.77
178,Pacific Grove,US,1548646200,62,1,4.7,57.92,36.62,-121.92
179,Linhares,BR,1548646907,87,92,5.19,77.53,-19.38,-40.06
180,Kyle,US,1548646500,61,1,2.51,53.42,29.99,-97.88
181,Saint George,GR,1548643800,75,40,2.51,35.6,39.45,22.34
182,Zhigansk,RU,1548646911,48,48,5.53,-29.57,66.77,123.37
183,Pochutla,MX,1548643500,83,75,5.08,75.2,15.74,-96.47
184,Tuktoyaktuk,CA,1548644400,69,75,25.28,-9.41,69.44,-133.03
185,Jinan,CN,1548646915,42,56,4.52,35.82,36.65,117.11
186,Port Blair,IN,1548646916,98,44,13.91,82.84,11.67,92.75
187,Kalmunai,LK,1548646917,90,0,4.63,75.91,7.42,81.82
188,Geraldton,CA,1548644400,64,5,2.51,-43.61,49.72,-86.95
189,Hobyo,SO,1548646920,85,68,16.26,75.73,5.35,48.53
190,Hami,CN,1548646921,89,88,3.4,23.44,42.84,93.51
191,Vredendal,ZA,1548646923,56,0,4.63,62.5,-31.68,18.49
192,Inhambane,MZ,1548646693,100,8,8.21,70.6,-23.87,35.38
193,Sokolka,RU,1548646925,93,92,13.24,25.42,52.46,43.89
194,Golden,CA,1548646927,86,44,1.95,18.99,51.3,-116.96
195,Viransehir,TR,1548646928,90,88,6.2,43.92,37.24,39.76
196,Hofn,IS,1548646929,100,80,8.43,28.21,64.25,-15.21
197,Lata,IN,1548646931,70,0,1.95,25.33,30.78,78.62
198,Husavik,CA,1548646932,79,80,6.98,-4.82,50.56,-96.99
199,Walvis Bay,NA,1548644400,82,90,3.36,62.6,-22.95,14.51
200,Tuatapere,NZ,1548646934,74,0,16.71,65.52,-46.13,167.69
201,San Quintin,PH,1548646936,53,0,2.17,77.53,17.54,120.52
202,San Isidro,PH,1548646939,100,64,4.41,67.45,16.74,121.63
203,Kutum,SD,1548646940,25,0,11.23,57.1,14.2,24.66
204,Marsa Matruh,EG,1548646942,92,0,9.22,42.21,31.35,27.25
205,Hasaki,JP,1548644400,100,75,6.93,46.4,35.73,140.83
206,Ilulissat,GL,1548643800,71,76,5.82,8.6,69.22,-51.1
207,Viedma,AR,1548646946,93,0,5.97,68.04,-40.81,-62.99
208,Marzuq,YE,1548646947,86,0,2.51,35.01,14.4,46.47
209,Vryburg,ZA,1548646948,94,0,8.66,59.62,-26.96,24.73
210,Kapit,MY,1548646950,80,68,2.95,81.04,2.02,112.94
211,Cap-aux-Meules,CA,1548644400,86,40,18.34,30.2,47.38,-61.86
212,Lahaina,US,1548644160,64,75,13.87,73.04,20.87,-156.68
213,Kenai,US,1548644160,84,90,6.93,30.02,60.55,-151.26
214,Billingham,GB,1548643800,69,88,12.75,35.6,54.61,-1.29
215,Daloa,CI,1548646956,89,0,3.96,65.74,6.88,-6.45
216,Kaitangata,NZ,1548646958,73,0,17.49,71.64,-46.28,169.85
217,Sioux Lookout,CA,1548644400,68,75,4.7,-16.61,50.1,-91.92
218,Gacko,BA,1548644400,62,75,14.99,51.8,43.17,18.53
219,Karasjok,NO,1548645600,75,8,10.29,-16.61,69.47,25.52
220,Bluff,AU,1548646963,85,88,14.58,77.31,-23.58,149.07
221,Lakes Entrance,AU,1548646964,82,76,3.62,74.61,-37.88,147.99
222,Wenling,CN,1548646965,77,0,3.18,54.49,28.38,121.38
223,Marion,US,1548646500,93,20,3.36,42.8,35.21,-90.2
224,Hovd,NO,1548645600,53,0,14.99,24.8,63.83,10.7
225,Saint-Philippe,CA,1548644400,56,90,11.41,18.5,45.36,-73.48
226,Evensk,RU,1548646971,100,8,8.43,-9.05,61.92,159.24
227,Katsuura,JP,1548644400,49,75,3.36,46.4,33.93,134.5
228,Qaanaaq,GL,1548646973,89,0,8.43,-15.44,77.48,-69.36
229,Seybaplaya,MX,1548643200,100,20,14.58,59.0,19.65,-90.67
230,Poum,MK,1548646976,81,32,1.83,16.33,41.28,20.71
231,Ayan,TR,1548646977,87,56,1.72,26.23,40.67,33.6
232,Lasa,CY,1548644400,87,40,5.82,51.8,34.92,32.53
233,Camacha,PT,1548644400,59,75,6.93,60.8,33.08,-16.33
234,Mon,IN,1548646981,78,76,3.62,63.13,26.73,95.03
235,Martapura,ID,1548646982,89,44,5.19,84.19,-3.41,114.85
236,Kloulklubed,PW,1548643860,74,75,6.93,84.2,7.04,134.26
237,Whitehorse,CA,1548644400,85,40,13.87,15.8,60.72,-135.06
238,Clearwater,US,1548646500,92,90,16.11,48.92,27.97,-82.8
239,Alofi,NU,1548644400,65,0,12.75,82.4,-19.06,-169.92
240,Victoria,BN,1548644400,70,75,6.93,87.8,5.28,115.24
241,Kot Diji,PK,1548646990,88,0,2.84,47.56,27.34,68.71
242,Bandarbeyla,SO,1548646991,100,80,21.85,77.17,9.49,50.81
243,Saint-Joseph,FR,1548646200,26,8,11.41,48.2,43.56,6.97
244,Erzin,TR,1548645600,93,75,8.05,50.0,36.95,36.2
245,Dawson,US,1548645300,81,90,12.75,24.44,39.85,-89.46
246,Benton Harbor,US,1548645300,67,90,5.82,9.14,42.12,-86.45
247,Tecoanapa,MX,1548643380,78,5,5.82,78.8,16.99,-99.26
248,Fort Nelson,CA,1548644400,92,5,2.24,17.6,58.81,-122.69
249,Narsaq,GL,1548647000,79,12,12.12,10.84,60.91,-46.05
250,Riyadh,SA,1548644760,30,0,14.99,68.0,24.63,46.72
251,Valparaiso,US,1548645300,70,40,4.7,10.4,41.47,-87.06
252,Sirjan,IR,1548647004,73,0,4.63,33.79,29.44,55.67
253,Nadym,RU,1548647005,81,20,9.78,-12.56,65.53,72.51
254,Urucui,BR,1548647007,97,24,2.95,70.51,-7.23,-44.56
255,Grafton,AU,1548644400,41,0,11.41,91.4,-29.69,152.93
256,Sungaipenuh,ID,1548647009,82,24,1.83,74.47,-2.08,101.38
257,Chicama,PE,1548644400,88,75,9.17,73.4,-7.84,-79.15
258,Natalio,PY,1548647012,50,80,4.07,85.32,-26.76,-55.14
259,Oyama,JP,1548644400,41,75,2.24,42.8,36.31,139.8
260,Hihya,EG,1548644400,50,0,10.29,53.6,30.67,31.59
261,Komsomolskiy,RU,1548647016,56,56,3.18,-19.49,67.55,63.78
262,Agadir,MA,1548644400,93,20,3.36,44.6,30.42,-9.58
263,Padang,ID,1548647018,100,0,2.95,80.95,-0.92,100.36
264,Rincon,US,1548645300,93,90,3.51,48.2,32.3,-81.24
265,Manggar,ID,1548647021,86,68,10.45,84.01,-2.88,108.27
266,Jalu,LY,1548647022,79,0,2.84,35.59,29.03,21.55
267,Dongsheng,CN,1548647024,100,92,8.43,42.12,29.72,112.52
268,Karasburg,NA,1548647025,32,0,3.51,63.54,-28.01,18.75
269,Dragoman,BG,1548644400,92,8,3.36,26.6,42.92,22.93
270,Jilib,SO,1548647027,76,0,12.8,75.42,0.49,42.79
271,Ternate,PH,1548644400,58,75,13.87,82.4,14.29,120.72
272,Aketi,CD,1548647030,94,36,2.62,71.46,2.74,23.78
273,Isangel,VU,1548647031,99,76,16.71,80.05,-19.55,169.27
