,City,Country,Date,Humidity,Cloudiness,Wind Speed,Max Temp,Latitude,Longitude
274,Bethel,US,1548646320,100,90,17.22,35.06,60.79,-161.76
275,Berdigestyakh,RU,1548647034,66,76,3.74,-23.05,62.1,126.7
276,Odda,NO,1548647036,90,76,2.17,8.37,60.07,6.55
277,Wakefield,GB,1548645600,71,0,18.34,35.6,53.68,-1.5
278,Santa Isabel do Rio Negro,BR,1548647039,96,32,2.62,76.14,-0.41,-65.02
279,Ponerihouen,NC,1548647040,100,56,17.6,77.49,-21.08,165.4
280,Willowmore,ZA,1548647042,86,0,2.06,42.61,-33.3,23.49
281,Silifke,TR,1548647043,100,92,6.53,46.3,36.38,33.93
282,Lavrentiya,RU,1548647044,80,48,6.2,15.39,65.58,-170.99
283,Houma,CN,1548646786,49,8,2.17,37.66,35.63,111.36
284,Rochegda,RU,1548647047,79,80,7.2,15.66,62.67,43.41
285,Kahului,US,1548644160,59,40,17.22,73.04,20.89,-156.47
286,Orsk,RU,1548644400,68,0,8.95,-18.41,51.23,58.47
287,Mehamn,NO,1548645600,92,90,20.8,19.4,71.03,27.85
288,Katherine,AU,1548644400,59,20,6.93,89.6,-14.47,132.26
289,Sitka,US,1548647053,42,0,13.13,42.88,37.17,-99.65
290,Igrim,RU,1548647054,77,44,4.63,-17.2,63.19,64.42
291,Nantucket,US,1548644160,81,1,6.93,42.98,41.28,-70.1
292,Dalby,AU,1548644400,30,0,12.75,93.2,-27.18,151.26
293,Kamenka,RU,1548647058,90,88,13.02,23.26,53.19,44.05
294,Sibu,MY,1548644400,79,75,4.7,84.2,2.29,111.83
295,Nelson Bay,AU,1548644400,58,0,12.75,84.2,-32.72,152.14
296,Touros,BR,1548644400,88,0,4.7,75.2,-5.2,-35.46
297,Kargopol,RU,1548647063,80,44,9.44,6.07,61.51,38.95
298,Luderitz,NA,1548647064,95,88,2.06,59.89,-26.65,15.16
299,Moerai,PF,1548647066,100,92,21.74,76.72,-22.43,-151.33
300,Yakeshi,CN,1548647067,71,0,5.97,5.17,49.28,120.73
301,Atasu,KZ,1548647068,57,0,11.23,-12.38,48.68,71.64
302,Turayf,SA,1548644400,100,90,5.82,51.8,31.68,38.65
303,Bowling Green,US,1548645300,75,1,3.36,35.6,36.99,-86.44
304,Udachnyy,RU,1548647072,43,44,2.39,-28.49,66.42,112.4
305,Hattiesburg,US,1548646500,90,40,2.84,44.06,31.33,-89.29
306,Baripada,IN,1548647075,75,92,9.89,64.75,21.93,86.73
307,Bara,NG,1548647076,33,8,8.88,65.65,10.41,10.6
308,Inca,EC,1548647077,82,76,3.18,77.98,-2.0,-80.62
309,Economy,US,1548646500,78,90,2.95,15.8,39.98,-85.09
310,Le Marin,MQ,1548644400,88,75,5.82,73.4,14.47,-60.87
311,Itarema,BR,1548647081,92,80,10.22,77.22,-2.92,-39.92
312,Mecca,SA,1548646845,59,32,13.24,74.29,21.43,39.83
313,Fortuna,ES,1548644400,40,0,14.99,51.8,38.18,-1.13
314,Xining,CN,1548647086,75,56,1.72,13.9,36.62,101.77
315,Saldanha,PT,1548647087,86,92,8.21,39.87,41.42,-6.55
316,Minggang,CN,1548647088,68,92,6.42,42.34,32.45,114.03
317,Aitape,PG,1548647090,100,88,7.2,78.57,-3.15,142.36
318,Nemuro,JP,1548644400,68,20,9.17,28.4,43.32,145.57
319,Baherden,TM,1548647092,71,20,2.39,40.0,38.44,57.43
320,Tvoroyri,FO,1548645600,74,32,10.29,30.2,61.56,-6.81
321,Paris,FR,1548644400,74,0,10.29,39.2,48.86,2.35
322,Chokurdakh,RU,1548647096,56,68,4.97,-32.18,70.62,147.9
323,Goderich,CA,1548647097,86,0,12.57,4.41,43.74,-81.71
324,Dori,BF,1548647099,54,0,3.18,54.36,14.03,-0.03
325,San Luis,AR,1548646810,46,0,7.43,80.41,-33.3,-66.34
326,Nanortalik,GL,1548647102,100,76,34.61,26.59,60.14,-45.24
327,Palmer,AU,1548644400,57,20,14.99,75.2,-34.85,139.16
328,Lokosovo,RU,1548647105,82,36,8.66,-12.83,61.13,74.84
329,Saskylakh,RU,1548647106,65,44,3.62,-35.2,71.97,114.09
330,Talnakh,RU,1548647107,48,24,4.74,-29.66,69.49,88.39
331,Atambua,ID,1548647109,97,100,7.65,81.85,-9.11,124.89
332,Lorengau,PG,1548647110,97,64,10.33,83.92,-2.02,147.27
333,Kabale,UG,1548647113,100,20,2.17,52.06,-1.26,29.99
334,Umm Lajj,SA,1548647114,100,92,12.46,65.56,25.02,37.27
335,Cidreira,BR,1548647116,79,8,10.45,78.52,-30.17,-50.22
336,Tyukhtet,RU,1548647117,77,68,15.59,-3.92,56.54,89.31
337,Alice Springs,AU,1548644400,31,0,12.75,87.8,-23.7,133.88
338,Aleksandrovsk,RU,1548647119,61,48,12.24,4.41,59.16,57.56
339,Tatarsk,RU,1548647121,72,20,7.99,-15.98,55.22,75.96
340,Nouadhibou,MR,1548647122,63,48,14.81,66.69,20.93,-17.03
341,Vanavara,RU,1548647123,59,48,8.88,-2.62,60.35,102.28
342,Harlingen,US,1548646500,87,1,6.93,57.02,26.19,-97.7
343,Altamira,BR,1548647126,100,92,3.85,71.95,-3.2,-52.21
344,Novovarshavka,RU,1548647128,63,32,5.19,-13.19,54.17,74.7
345,Half Moon Bay,US,1548644160,55,75,4.7,62.06,37.46,-122.43
346,Khandyga,RU,1548647130,87,12,2.62,-40.46,62.65,135.58
347,Suhbaatar,MN,1548647131,54,8,4.18,13.09,50.23,106.21
348,Coquimbo,CL,1548644400,82,20,3.36,62.6,-29.95,-71.34
349,Road Town,VG,1548643980,68,1,10.29,78.08,18.42,-64.62
350,Braintree,GB,1548645600,74,68,10.29,39.2,51.88,0.55
351,Gushikawa,JP,1548646200,45,40,6.93,70.7,26.35,127.87
352,Canon City,US,1548647138,78,0,2.73,25.56,39.46,-117.13
353,Daru,SL,1548647139,30,0,6.31,69.21,7.99,-10.85
354,Srednekolymsk,RU,1548647140,42,64,3.62,-27.23,67.46,153.71
355,Kavieng,PG,1548647141,100,80,8.43,84.24,-2.57,150.8
356,Atbasar,KZ,1548647143,61,8,5.19,-20.93,51.81,68.36
357,Morehead,US,1548646500,74,1,3.96,33.08,38.18,-83.43
358,Alugan,PH,1548647145,90,48,17.72,78.57,12.22,125.48
359,Piterka,RU,1548647147,92,88,15.7,25.11,50.68,47.44
360,Ingleside,CA,1548646500,55,90,12.75,12.02,45.0,-74.99
361,Tsabong,BW,1548647150,61,0,15.82,72.67,-26.02,22.4
362,Canutama,BR,1548647151,92,12,2.39,77.89,-6.53,-64.38
363,Bitkine,TD,1548647152,32,0,6.98,61.69,11.98,18.21
364,Vieste,IT,1548644100,100,75,5.82,46.4,41.88,16.18
365,Xai-Xai,MZ,1548647155,100,68,8.66,72.81,-25.04,33.64
366,Doka,SD,1548647156,57,0,2.73,66.19,13.52,35.76
367,San Cristobal,EC,1548644400,93,75,5.82,57.2,-0.39,-78.55
368,Henties Bay,NA,1548647159,100,92,4.74,61.69,-22.12,14.28
369,Batagay,RU,1548647160,0,0,2.84,-59.59,67.65,134.64
370,Grindavik,IS,1548646200,68,20,11.41,26.6,63.84,-22.43
371,Auchi,NG,1548647163,86,8,6.64,75.73,7.07,6.27
372,Labuhan,ID,1548647164,82,56,2.28,81.31,-2.54,115.51
373,Soyaniquilpan,MX,1548647165,81,0,2.95,34.87,19.98,-99.5
374,Edd,ER,1548647167,73,0,8.32,65.56,13.93,41.69
375,Flinders,AU,1548644400,69,90,4.7,78.8,-34.58,150.85
376,Kosh-Agach,RU,1548647171,50,12,9.55,-8.87,49.99,88.66
377,Kabalo,CD,1548647172,96,0,2.39,70.02,-6.05,26.92
378,Acapulco,MX,1548643380,78,5,5.82,78.8,16.86,-99.88
379,Tanout,NE,1548647175,42,0,9.55,54.85,14.97,8.88
380,Moree,AU,1548644400,23,40,10.29,98.6,-29.46,149.84
381,Savannakhet,TH,1548644400,64,20,2.24,73.4,16.57,104.76
382,Vao,EE,1548647179,83,64,8.55,5.44,59.1,26.19
383,Gemena,CD,1548647180,95,48,1.83,72.09,3.25,19.78
384,Garden City,US,1548645300,53,90,8.05,42.08,40.73,-73.63
385,Umea,SE,1548645600,75,40,4.7,-13.01,63.83,20.26
386,Comodoro Rivadavia,AR,1548644400,34,0,29.97,66.2,-45.87,-67.48
387,Bucerias,MX,1548643560,77,5,12.12,68.0,20.76,-105.33
388,Russell,AR,1548644400,55,0,3.36,86.0,-33.01,-68.8
389,Paamiut,GL,1548647188,100,68,20.74,24.88,61.99,-49.67
390,Kwinana,AU,1548644400,14,0,8.05,100.4,-32.25,115.77
391,Muroto,JP,1548644400,34,75,6.93,53.6,33.37,134.14
392,Neuquen,AR,1548644400,19,0,5.82,78.8,-38.95,-68.06
393,Maldonado,UY,1548644400,94,0,5.82,77.0,-34.91,-54.96
394,Parsabad,AZ,1548644400,81,0,9.17,44.6,39.65,47.92
395,Grand Gaube,MU,1548644400,88,75,5.41,78.8,-20.01,57.66
396,Guiglo,CI,1548647197,89,0,3.85,65.38,6.55,-7.5
397,The Pas,CA,1548645480,70,90,10.29,-2.21,53.82,-101.24
398,San Carlos de Bariloche,AR,1548644400,50,0,24.16,53.6,-41.13,-71.31
399,Dingle,PH,1548647201,66,32,18.5,79.6,11.0,122.67
400,Tunceli,TR,1548643800,96,75,6.93,33.8,39.11,39.55
401,Keuruu,FI,1548645600,83,8,6.93,-9.41,62.26,24.71
402,Katobu,ID,1548647205,81,68,2.17,86.89,-4.94,122.53
403,Bathsheba,BB,1548644400,78,75,17.22,77.0,13.22,-59.52
404,Kavaratti,IN,1548647208,100,0,4.41,80.37,10.57,72.64
405,Te Anau,NZ,1548647209,60,0,10.0,66.87,-45.41,167.72
406,Kaduy,RU,1548644400,76,0,4.74,-11.21,59.2,37.15
407,Tres Palos,MX,1548643380,78,5,5.82,78.8,16.83,-99.78
408,Ulety,RU,1548647213,51,56,2.73,5.89,51.36,112.48
409,Titisee-Neustadt,DE,1548645600,90,75,12.75,35.6,47.9,8.17
410,Kontagora,NG,1548647216,48,0,4.97,66.37,10.4,5.47
411,Cockburn Town,TC,1548646963,98,0,24.43,78.7,21.46,-71.14
412,Iskateley,RU,1548647218,74,88,20.29,-2.75,67.68,53.15
413,Vestmanna,FO,1548645600,74,48,10.29,30.2,62.16,-7.17
414,Mbandaka,CD,1548647221,93,88,2.84,75.24,0.05,18.26
415,Orebro,SE,1548645600,92,75,16.11,28.4,59.27,15.21
416,Kitami,JP,1548644400,79,40,8.05,32.0,43.8,143.9
417,Ugoofaaru,MV,1548647225,99,0,8.21,82.17,5.67,73.0
418,Zyryanka,RU,1548647226,37,56,2.73,-24.71,65.73,150.89
419,Nanga Eboko,CM,1548647227,99,48,6.53,70.11,4.68,12.37
420,Dubrovka,RU,1548646200,84,20,4.47,-2.21,59.85,30.93
421,Lodja,CD,1548647230,92,76,3.85,70.47,-3.52,23.6
422,Petropavlovsk-Kamchatskiy,RU,1548646200,56,8,6.71,14.0,53.05,158.65
423,Plattling,DE,1548647233,95,76,16.71,31.99,48.78,12.88
424,Launceston,AU,1548644400,46,75,24.16,73.4,-41.43,147.14
425,Macesu de Sus,RO,1548644400,100,90,3.36,28.4,43.92,23.7
426,Taitung,TW,1548646200,60,75,4.7,71.6,22.76,121.15
427,Ruginoasa,RO,1548644400,86,75,8.05,26.6,47.24,26.85
428,Peachtree City,US,1548646500,83,1,2.62,40.64,33.4,-84.6
429,Pokhara,NP,1548647240,82,8,1.95,38.74,28.21,83.99
430,Bowen,AU,1548644400,94,75,11.41,77.0,-20.01,148.25
431,Mae Ramat,TH,1548644400,60,0,1.12,71.6,16.98,98.52
432,Margate,AU,1548644400,18,20,19.46,87.8,-43.03,147.26
433,Ambanja,MG,1548647245,96,92,1.61,69.97,-13.68,48.45
434,Fomboni,KM,1548647247,100,12,10.67,81.72,-12.28,43.74
435,Naantali,FI,1548645600,92,56,13.87,12.2,60.45,22.03
436,Saravan,AM,1548646200,81,75,6.93,42.8,39.72,45.65
437,Mayo,CA,1548644400,76,20,2.24,-11.21,63.59,-135.9
438,Manicore,BR,1548647252,93,20,1.61,77.31,-5.81,-61.3
439,San Jeronimo,PE,1548647253,99,64,0.38,43.29,-13.65,-73.37
440,Deputatskiy,RU,1548647254,0,20,1.95,-49.73,69.3,139.9
441,Champerico,MX,1548643620,64,5,16.11,68.0,16.38,-93.6
442,Mayumba,GA,1548647257,100,88,5.19,78.52,-3.44,10.65
443,Bitung,ID,1548644400,83,75,3.36,80.6,1.44,125.19
444,Camocim,BR,1548647260,93,80,10.33,76.41,-2.9,-40.84
445,Athabasca,CA,1548647261,76,68,16.37,23.26,54.72,-113.29
446,Muisne,EC,1548647262,94,32,2.84,73.57,0.61,-80.02
447,Sapouy,BF,1548647263,42,0,3.18,59.17,11.55,-1.77
448,Abu Samrah,SY,1548647265,85,68,7.43,46.48,35.3,37.18
449,Pauini,BR,1548647266,85,64,5.97,80.32,-7.71,-67.0
450,Makakilo City,US,1548644220,46,1,9.17,75.92,21.35,-158.09
451,Coos Bay,US,1548644160,96,1,2.84,48.92,43.37,-124.22
452,Lagoa,PT,1548644400,62,0,4.7,51.8,37.14,-8.45
453,Wanaka,NZ,1548647173,53,0,5.75,72.94,-44.7,169.14
454,Zlynka,RU,1548646200,91,90,4.47,-2.21,52.43,31.74
455,East Wenatchee Bench,US,1548646080,92,40,4.7,39.92,47.43,-120.28
456,Luau,CD,1548647275,96,32,2.39,63.81,-10.7,22.23
457,Marsh Harbour,BS,1548647276,98,36,21.63,76.9,26.54,-77.06
458,Ngara,TZ,1548647278,90,32,2.28,58.72,-2.51,30.66
459,Puerto Leguizamo,CO,1548647279,90,12,2.17,76.14,-0.19,-74.78
460,Wellington,NZ,1548646200,65,0,25.28,77.0,-41.29,174.78
461,Baglung,NP,1548647282,79,0,1.95,38.97,28.27,83.59
462,Devils Lake,US,1548645360,77,90,14.99,-0.41,48.11,-98.87
463,Baykit,RU,1548647284,58,56,10.67,-13.1,61.68,96.39
464,Mattawa,CA,1548644400,75,20,5.82,-20.21,46.32,-78.7
465,Kieta,PG,1548647287,99,20,3.18,83.07,-6.22,155.63
466,Uyemskiy,RU,1548646200,84,40,6.71,5.0,64.47,40.85
467,Peresichna,UA,1548646200,85,90,8.95,19.4,50.02,35.98
468,Cayenne,GF,1548646200,88,20,3.36,77.0,4.94,-52.33
469,Kirkuk,IQ,1548647292,98,92,13.35,55.71,35.47,44.4
470,Lazurne,UA,1548647294,86,0,3.29,16.78,46.77,34.99
471,Garango,BF,1548647295,52,0,3.96,58.77,11.8,-0.55
472,Port Moresby,PG,1548644400,59,40,11.41,91.4,-9.47,147.16
473,Surt,LY,1548647297,100,0,14.7,48.91,31.21,16.59
474,Bestobe,KZ,1548647299,67,24,3.06,-14.5,52.5,73.1
475,Sibolga,ID,1548647300,100,100,2.62,69.43,1.74,98.78
476,Baghdad,IQ,1548646200,100,75,11.41,59.0,33.3,44.38
477,Nanakuli,US,1548644220,64,40,10.29,75.92,21.39,-158.15
478,Port-Cartier,CA,1548644400,85,90,18.34,14.0,50.03,-66.88
479,Victoria,BN,1548644400,70,75,6.93,87.8,5.28,115.24
480,Hervey Bay,AU,1548644400,38,40,16.11,87.8,-25.3,152.85
481,Karratha,AU,1548647308,78,76,10.78,80.23,-20.74,116.85
482,Kruisfontein,ZA,1548647310,87,80,12.91,67.36,-34.0,24.73
483,Abadiania,BR,1548644400,88,40,4.7,66.2,-16.2,-48.71
484,Kanye,BW,1548647312,79,44,14.81,65.47,-24.98,25.34
485,Tabuk,PH,1548647314,75,36,2.51,66.42,17.41,121.44
486,Weligama,LK,1548647315,100,0,4.63,77.98,5.97,80.42
487,Mestia,GE,1548647316,98,48,1.39,15.07,43.04,42.73
488,Miquelon,PM,1548647317,100,64,18.39,32.08,47.1,-56.38
489,Raasiku,EE,1548645600,92,0,11.41,8.6,59.37,25.18
490,Aksu,KZ,1548646200,74,40,4.47,-23.81,52.04,76.93
491,Dayong,PH,1548647321,100,12,25.55,77.98,11.74,122.04
492,Bambanglipuro,ID,1548647323,88,0,2.84,84.28,-7.95,110.28
493,Palana,RU,1548647324,74,32,2.51,2.61,59.08,159.95
494,Cabo San Lucas,MX,1548643500,72,5,9.17,68.0,22.89,-109.91
495,Boa Vista,BR,1548644400,54,0,12.75,84.2,2.82,-60.67
496,Lardos,GR,1548645600,100,40,3.36,50.0,36.09,28.02
497,Saint Lawrence,MT,1548645300,76,0,9.17,55.4,36.06,14.2
498,Robertsport,LR,1548647332,99,0,11.12,83.11,6.75,-11.37
499,Port Lincoln,AU,1548647333,74,0,9.44,74.2,-34.72,135.86
500,Sao Luiz Gonzaga,BR,1548647334,78,8,5.19,77.67,-28.41,-54.96
501,Naryan-Mar,RU,1548647336,73,88,19.28,-2.39,67.67,53.09
502,Yerbogachen,RU,1548647337,62,36,9.22,0.22,61.28,108.01
503,Nisshin,JP,1548646200,84,75,5.82,44.6,35.17,136.96
504,Kromy,RU,1548647339,96,92,3.4,28.48,52.69,35.77
505,Mao,DO,1548644400,100,20,9.17,73.4,19.55,-71.08
506,Dunedin,NZ,1548647342,75,36,6.2,74.07,-45.87,170.5
507,Soke,ML,1548647343,45,0,7.76,56.74,13.6,-5.94
508,Port-Gentil,GA,1548647345,99,0,3.51,79.33,-0.72,8.78
509,Mount Isa,AU,1548646920,26,40,17.22,96.8,-20.73,139.49
510,Dwarka,IN,1548646200,87,0,5.82,46.4,28.58,77.04
511,Anadyr,RU,1548646200,76,0,15.66,-5.81,64.73,177.51
512,Burnie,AU,1548647350,95,44,17.83,65.47,-41.05,145.91
513,Chara,GR,1548643800,75,40,2.51,35.6,39.42,22.43
514,Taybad,IR,1548647352,83,8,5.75,31.27,34.74,60.78
515,Olinala,MX,1548647354,67,0,2.62,59.98,17.83,-98.85
516,Bhagalpur,IN,1548647355,85,12,8.88,59.22,25.25,86.98
517,Hambantota,LK,1548645000,78,0,10.29,80.6,6.12,81.12
518,Castanos,MX,1548647358,83,0,3.4,37.84,26.78,-101.42
519,Adrar,DZ,1548644400,43,0,8.05,50.0,27.87,-0.29
520,Seydi,NE,1548647360,39,0,8.77,56.16,13.34,7.75
521,Yar,RU,1548647361,83,88,13.35,9.49,58.24,52.11
522,Morondava,MG,1548647363,100,8,7.43,74.61,-20.3,44.28
523,Rome,IT,1548645600,87,40,5.82,51.8,41.89,12.48
524,Caravelas,BR,1548647365,100,92,9.89,80.23,-17.73,-39.27
525,Pacifica,US,1548646800,87,20,9.17,62.06,37.61,-122.49
526,Port Hedland,AU,1548644400,59,36,12.75,89.6,-20.31,118.58
527,Safford,US,1548643860,35,1,3.36,44.96,32.83,-109.71
528,Namatanai,PG,1548647370,95,68,9.66,85.54,-3.66,152.44
529,Freeport,BS,1548647197,100,92,25.1,73.03,26.54,-78.7
530,Rocha,UY,1548647373,71,8,9.22,76.59,-34.48,-54.34
531,Tuxpan,MX,1548643260,88,5,2.73,66.2,19.56,-103.38
532,Bisira,PA,1548647376,72,0,2.39,76.77,8.52,-81.71
533,Huaicheng,CN,1548647377,76,56,3.74,59.89,23.91,112.19
534,Mabaruma,GY,1548647379,88,92,7.54,77.22,8.2,-59.78
535,Quatre Cocos,MU,1548644400,88,75,6.98,78.8,-20.21,57.76
536,Jasper,US,1548645300,100,0,2.39,44.06,33.83,-87.28
537,Makubetsu,JP,1548644400,72,75,5.82,17.6,42.84,143.34
538,Tabou,CI,1548647384,100,0,12.8,82.39,4.42,-7.36
539,Abu Kamal,SY,1548647385,78,92,7.43,54.04,34.45,40.92
540,Kirillov,RU,1548646200,75,0,3.96,-13.01,59.86,38.38
541,Changli,CN,1548647387,100,36,4.18,48.55,30.54,105.42
542,Gubkinskiy,RU,1548647389,70,80,11.23,-9.59,64.43,76.5
543,Yar-Sale,RU,1548647390,77,64,10.67,-11.66,66.83,70.83
544,Oktyabrskiy,RU,1548646200,85,75,6.71,15.8,55.61,37.97
545,Kupang,ID,1548646200,83,75,10.29,82.4,-10.16,123.6
546,Minot,US,1548645180,77,90,12.75,6.98,48.23,-101.3
547,Buala,SB,1548647395,86,68,7.99,85.72,-8.15,159.59
